date,symbol,momentum,volatility,trend_slope,mean_reversion_zscore
2024-12-25,IF_DOMINANT.CFE,0.02142820525965039,0.13683399365246537,0.0005322286854765751,-0.9851875491985941
2024-12-26,IF_DOMINANT.CFE,0.029645697758496015,0.13330442379441843,0.0003659852819957073,-0.9822813086327017
2024-12-27,IF_DOMINANT.CFE,0.018563027358731832,0.12986193461322218,0.0002995155466885009,-0.7895476036355753
2024-12-30,IF_DOMINANT.CFE,0.014510400811770685,0.1278748582963375,0.00038588148829245923,-1.1453690756230188
2024-12-31,IF_DOMINANT.CFE,-0.005575831305758339,0.1448200987080181,0.0001923579403147224,1.044230470497576
2024-12-25,CU_DOMINANT.SHF,0.00013489815189537957,0.06685167464099857,-0.00010035602775874712,0.48716025979829736
2024-12-26,CU_DOMINANT.SHF,0.0036600244001627757,0.06469760664419247,-0.00030235029839951154,0.7189806743608744
2024-12-27,CU_DOMINANT.SHF,0.0035216036841392295,0.06468263777288666,-0.0004873573075394803,0.6623116392564644
2024-12-30,CU_DOMINANT.SHF,0.0074606619641888194,0.0648257950560846,-0.000666528351697001,0.3789233391764695
2024-12-31,CU_DOMINANT.SHF,-0.007667473769168653,0.062312124016514946,-0.0008211388268747316,1.3004807740984252
2024-12-25,I_DOMINANT.DCE,-0.02020202020202022,0.19048589372284286,-0.0019639749579050407,1.4141261080195602
2024-12-26,I_DOMINANT.DCE,-0.012714558169103607,0.18928133589239823,-0.002492843062804946,1.2966727848522663
2024-12-27,I_DOMINANT.DCE,-0.04764890282131662,0.19513387094108892,-0.003099400322074901,2.064335681021872
2024-12-30,I_DOMINANT.DCE,-0.03784119106699757,0.20685513928803245,-0.003167319505344034,0.9847010432950821
2024-12-31,I_DOMINANT.DCE,-0.04240934234787952,0.20424941213606973,-0.0029666555391313935,0.692617983576451
